run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.12428,2.16001
2,512,512,0.12145,2.21028
3,512,512,0.12148,2.20971
4,512,512,0.12235,2.19392
5,512,512,0.12119,2.21509
6,512,512,0.12137,2.21170
7,512,512,0.12156,2.20821
8,512,512,0.12139,2.21127
9,512,512,0.12270,2.18775
10,512,512,0.12144,2.21037
11,512,512,0.12146,2.21015
12,512,512,0.12152,2.20905
13,512,512,0.12243,2.19265
14,512,512,0.12246,2.19196
15,512,512,0.12141,2.21090
16,512,512,0.12157,2.20816
17,512,512,0.12131,2.21277
18,512,512,0.12221,2.19651
19,512,512,0.12146,2.21002
20,512,512,0.12154,2.20861
