run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,1024,1024,1.15352,1.86077
2,1024,1024,1.15486,1.85861
3,1024,1024,1.15255,1.86234
4,1024,1024,1.15751,1.85436
5,1024,1024,1.16313,1.84540
6,1024,1024,1.15100,1.86485
7,1024,1024,1.15590,1.85693
8,1024,1024,1.15219,1.86292
9,1024,1024,1.14913,1.86788
10,1024,1024,1.14683,1.87162
11,1024,1024,1.14993,1.86658
12,1024,1024,1.15079,1.86518
13,1024,1024,1.15086,1.86506
14,1024,1024,1.15230,1.86273
15,1024,1024,1.15332,1.86109
16,1024,1024,1.15331,1.86110
17,1024,1024,1.15610,1.85662
18,1024,1024,1.15293,1.86173
19,1024,1024,1.15616,1.85652
20,1024,1024,1.14852,1.86888
