run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,2048,2048,35.48098,0.48408
2,2048,2048,35.31963,0.48629
3,2048,2048,35.37668,0.48551
4,2048,2048,35.08151,0.48959
5,2048,2048,34.84664,0.49289
6,2048,2048,35.17435,0.48830
7,2048,2048,35.27226,0.48695
8,2048,2048,35.21095,0.48779
9,2048,2048,35.11973,0.48906
10,2048,2048,35.16743,0.48840
11,2048,2048,35.12700,0.48896
12,2048,2048,35.17551,0.48829
13,2048,2048,35.18698,0.48813
14,2048,2048,35.24380,0.48734
15,2048,2048,34.94767,0.49147
16,2048,2048,35.10196,0.48931
17,2048,2048,35.31784,0.48632
18,2048,2048,35.20494,0.48788
19,2048,2048,35.35081,0.48586
20,2048,2048,35.25999,0.48712
