run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.20694,1.29592
2,512,512,0.17880,1.49983
3,512,512,0.14999,1.78791
4,512,512,0.15538,1.72593
5,512,512,0.14486,1.85120
6,512,512,0.12740,2.10495
7,512,512,0.12668,2.11696
8,512,512,0.12729,2.10678
9,512,512,0.12569,2.13364
10,512,512,0.12713,2.10944
11,512,512,0.12865,2.08449
12,512,512,0.12694,2.11264
13,512,512,0.12710,2.10995
14,512,512,0.12681,2.11474
15,512,512,0.12820,2.09178
16,512,512,0.12692,2.11296
17,512,512,0.12689,2.11343
18,512,512,0.13962,1.92070
19,512,512,0.13029,2.05834
20,512,512,0.12681,2.11473
