run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,1024,1024,1.10330,1.94642
2,1024,1024,1.10454,1.94424
3,1024,1024,1.12234,1.91340
4,1024,1024,1.12103,1.91563
5,1024,1024,1.31946,1.62754
6,1024,1024,1.29592,1.65711
7,1024,1024,1.19199,1.80160
8,1024,1024,1.10641,1.94095
9,1024,1024,1.10634,1.94107
10,1024,1024,1.10694,1.94002
11,1024,1024,1.10955,1.93546
12,1024,1024,1.11818,1.92052
13,1024,1024,1.10978,1.93505
14,1024,1024,1.11061,1.93361
15,1024,1024,1.12250,1.91313
16,1024,1024,1.10912,1.93620
17,1024,1024,1.10975,1.93511
18,1024,1024,1.10850,1.93729
19,1024,1024,1.10670,1.94043
20,1024,1024,1.10704,1.93985
