run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,512,512,0.12350,2.17350
2,512,512,0.12050,2.22777
3,512,512,0.12043,2.22901
4,512,512,0.12083,2.22155
5,512,512,0.12058,2.22628
6,512,512,0.12096,2.21922
7,512,512,0.11998,2.23730
8,512,512,0.12054,2.22685
9,512,512,0.11996,2.23766
10,512,512,0.12167,2.20623
11,512,512,0.12045,2.22854
12,512,512,0.12034,2.23073
13,512,512,0.12085,2.22128
14,512,512,0.12061,2.22574
15,512,512,0.12163,2.20701
16,512,512,0.12028,2.23182
17,512,512,0.12059,2.22593
18,512,512,0.12066,2.22466
19,512,512,0.12059,2.22609
20,512,512,0.12082,2.22171
