run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,2048,2048,0.14980,114.65459
2,2048,2048,0.11288,152.16349
3,2048,2048,0.09946,172.69678
4,2048,2048,0.09853,174.31600
5,2048,2048,0.09917,173.18604
6,2048,2048,0.09819,174.92147
7,2048,2048,0.09790,175.43795
8,2048,2048,0.09791,175.42691
9,2048,2048,0.09800,175.26204
10,2048,2048,0.09823,174.84587
11,2048,2048,0.09935,172.87853
12,2048,2048,0.09903,173.44289
13,2048,2048,0.09967,172.32223
14,2048,2048,0.10034,171.17453
15,2048,2048,0.09994,171.85446
16,2048,2048,0.10074,170.48932
17,2048,2048,0.09978,172.13071
18,2048,2048,0.09805,175.18048
19,2048,2048,0.09800,175.25864
20,2048,2048,0.09789,175.46303
