run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,2048,2048,2.86549,5.99398
2,2048,2048,3.34249,5.13858
3,2048,2048,3.31861,5.17556
4,2048,2048,3.31494,5.18129
5,2048,2048,3.29276,5.21620
6,2048,2048,3.31150,5.18667
7,2048,2048,3.29573,5.21149
8,2048,2048,3.30226,5.20119
9,2048,2048,3.28542,5.22784
10,2048,2048,3.28918,5.22187
11,2048,2048,3.30568,5.19580
12,2048,2048,3.33758,5.14614
13,2048,2048,3.28529,5.22805
14,2048,2048,3.29178,5.21775
15,2048,2048,3.29176,5.21778
16,2048,2048,3.30615,5.19507
17,2048,2048,3.29115,5.21874
18,2048,2048,3.29753,5.20865
19,2048,2048,3.29333,5.21530
20,2048,2048,3.30151,5.20237
