run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,1024,1024,0.33074,6.49296
2,1024,1024,0.32887,6.52981
3,1024,1024,0.32683,6.57057
4,1024,1024,0.32698,6.56756
5,1024,1024,0.32755,6.55617
6,1024,1024,0.32746,6.55799
7,1024,1024,0.32700,6.56721
8,1024,1024,0.32830,6.54129
9,1024,1024,0.32738,6.55970
10,1024,1024,0.32751,6.55708
11,1024,1024,0.32774,6.55235
12,1024,1024,0.32711,6.56511
13,1024,1024,0.32733,6.56066
14,1024,1024,0.32837,6.53991
15,1024,1024,0.32775,6.55224
16,1024,1024,0.32812,6.54482
17,1024,1024,0.32995,6.50847
18,1024,1024,0.32804,6.54640
19,1024,1024,0.32846,6.53798
20,1024,1024,0.32775,6.55224
