run_index,number_of_matrix_rows,number_of_matrix_columns,run_duration_in_seconds,gflops
1,2048,2048,9.14904,1.87732
2,2048,2048,9.16483,1.87409
3,2048,2048,9.14777,1.87758
4,2048,2048,9.14313,1.87853
5,2048,2048,9.17171,1.87268
6,2048,2048,9.14128,1.87891
7,2048,2048,9.16827,1.87338
8,2048,2048,9.15658,1.87577
9,2048,2048,9.14499,1.87815
10,2048,2048,9.14061,1.87905
11,2048,2048,9.15351,1.87640
12,2048,2048,9.16684,1.87368
13,2048,2048,9.17389,1.87223
14,2048,2048,9.14235,1.87869
15,2048,2048,9.15000,1.87712
16,2048,2048,9.16579,1.87389
17,2048,2048,9.17460,1.87209
18,2048,2048,9.14274,1.87861
19,2048,2048,9.15086,1.87695
20,2048,2048,9.16462,1.87413
